filename,label
20200330_031600.pt,2
20200330_051200.pt,2
20200330_054000.pt,2
20200330_055200.pt,2
20200330_102800.pt,2
20200330_120400.pt,2
20200330_192600.pt,2
20200331_034800.pt,2
20200331_045000.pt,2
20200331_072800.pt,2
20200331_094800.pt,2
20200331_121800.pt,2
20200331_211800.pt,2
20200401_002000.pt,2
20200401_003400.pt,2
20200401_030000.pt,2
20200401_042000.pt,2
20200401_053400.pt,2
20200401_064200.pt,2
20200401_142800.pt,2
20200401_145800.pt,2
20200401_190000.pt,2
20200401_205800.pt,2
20200402_013000.pt,2
20200402_040400.pt,2
20200402_054800.pt,2
20200402_072400.pt,2
20200402_085800.pt,2
20200402_124200.pt,2
20200402_164800.pt,2
20200402_182200.pt,2
20200402_184400.pt,2
20200402_194400.pt,2
20200402_210800.pt,2
20200403_032800.pt,2
20200403_092200.pt,2
20200403_143200.pt,2
20200403_225200.pt,2
20200404_014400.pt,2
20200404_034000.pt,2
20200404_045600.pt,2
20200404_054400.pt,2
20200404_093000.pt,2
20200404_121200.pt,2
20200404_121800.pt,2
20200404_130000.pt,2
20200404_145200.pt,2
20200404_223400.pt,2
20200405_054600.pt,2
20200405_065000.pt,2
20200405_085200.pt,2
20200405_115000.pt,2
20200405_125400.pt,2
20200405_152600.pt,2
20200405_155000.pt,2
20200405_185200.pt,2
20200405_185400.pt,2
20200405_203600.pt,2
20200405_231800.pt,2
20200406_015000.pt,2
20200406_015400.pt,2
20200406_020600.pt,2
20200406_040200.pt,2
20200406_064000.pt,2
20200406_071800.pt,2
20200406_081000.pt,2
20200406_081200.pt,2
20200406_093000.pt,2
20200406_154400.pt,2
20200406_162200.pt,2
20200406_172000.pt,2
20200406_195200.pt,2
20200407_015800.pt,2
20200407_030800.pt,2
20200407_080200.pt,2
20200407_085400.pt,2
20200407_154000.pt,2
20200407_212400.pt,2
20200407_215200.pt,2
20200408_024400.pt,2
20200408_032800.pt,2
20200408_033200.pt,2
20200408_074400.pt,2
20200408_084200.pt,2
20200408_102200.pt,2
20200408_112200.pt,2
20200408_124800.pt,2
20200408_151800.pt,2
20200329_232000.pt,2
20200329_232600.pt,2
