filename,label
20200328_014300.pt,2
20200328_022300.pt,2
20200328_031700.pt,2
20200328_035600.pt,2
20200326_134300.pt,2
20200326_160600.pt,2
20200325_212700.pt,2
20200325_230100.pt,2
20200326_091000.pt,2
20200326_004700.pt,2
20200325_063400.pt,2
20200326_054200.pt,2
20200324_223000.pt,2
20200326_122600.pt,2
20200326_140800.pt,2
20200326_210900.pt,2
20200327_111800.pt,2
20200327_134000.pt,2
20200327_163000.pt,2
20200326_155300.pt,2
20200325_125400.pt,2
20200324_231500.pt,2
20200326_151800.pt,2
20200325_140600.pt,2
20200326_125100.pt,2
20200325_180100.pt,2
20200327_145900.pt,2
20200327_100700.pt,2
20200325_165700.pt,2
20200327_134200.pt,2
20200325_094400.pt,2
20200325_091700.pt,2
20200327_173900.pt,2
20200327_052800.pt,2
20200325_213700.pt,2
20200326_210700.pt,2
20200326_130700.pt,2
20200325_043200.pt,2
20200326_010100.pt,2
20200325_110500.pt,2
20200326_051000.pt,2
20200327_102300.pt,2
20200326_053800.pt,2
20200324_230600.pt,2
20200327_074000.pt,2
20200327_135900.pt,2
20200326_175100.pt,2
20200327_123600.pt,2
20200324_184700.pt,2
20200327_140800.pt,2
20200325_143900.pt,2
20200326_155100.pt,2
20200326_021700.pt,2
20200324_183600.pt,2
20200327_013700.pt,2
20200325_194600.pt,2
20200326_082100.pt,2
20200325_201200.pt,2
20200325_101700.pt,2
20200327_125200.pt,2
20200327_071700.pt,2
20200325_112400.pt,2
20200325_055900.pt,2
20200326_204700.pt,2
20200327_100500.pt,2
20200325_153500.pt,2
20200325_131900.pt,2
20200325_162200.pt,2
20200326_095200.pt,2
20200325_200500.pt,2
20200327_115400.pt,2
20200326_144800.pt,2
20200326_041800.pt,2
20200327_073600.pt,2
20200325_043900.pt,2
20200325_014300.pt,2
20200325_011700.pt,2
20200327_181000.pt,2
20200327_181700.pt,2
20200327_193200.pt,2
20200327_214600.pt,2
20200327_215900.pt,2
20200327_220200.pt,2
20200328_005900.pt,2
20200328_014700.pt,2
20200328_022400.pt,2
20200328_023000.pt,2
20200328_041900.pt,2
20200327_150000.pt,2
20200326_174300.pt,2
20200326_030800.pt,2
20200325_085200.pt,2
20200327_101500.pt,2
20200325_125000.pt,2
20200326_171400.pt,2
20200327_155400.pt,2
20200325_003200.pt,2
20200324_224900.pt,2
20200324_230400.pt,2
20200325_003700.pt,2
20200327_020500.pt,2
20200325_120600.pt,2
20200326_182100.pt,2
20200325_070300.pt,2
20200326_080100.pt,2
20200327_040300.pt,2
20200327_094200.pt,2
20200325_144700.pt,2
20200327_073900.pt,2
20200325_011200.pt,2
20200327_082200.pt,2
20200326_082900.pt,2
20200326_094800.pt,2
20200326_102500.pt,2
20200327_152800.pt,2
20200327_174800.pt,2
20200327_033600.pt,2
20200325_084900.pt,2
20200326_132400.pt,2
20200327_173700.pt,2
20200326_202900.pt,2
20200324_192100.pt,2
20200325_213800.pt,2
20200327_043300.pt,2
20200325_170700.pt,2
20200327_094300.pt,2
20200327_055000.pt,2
20200327_072800.pt,2
20200326_200200.pt,2
20200326_164000.pt,2
20200327_013400.pt,2
20200327_054300.pt,2
20200326_131200.pt,2
20200326_131800.pt,2
20200324_193900.pt,2
20200326_223400.pt,2
20200325_034700.pt,2
20200327_094500.pt,2
20200325_211600.pt,2
20200325_232600.pt,2
20200325_171400.pt,2
20200327_040500.pt,2
20200327_160600.pt,2
20200324_184600.pt,2
20200326_002300.pt,2
20200324_222500.pt,2
20200324_214900.pt,2
20200325_235000.pt,2
20200325_075400.pt,2
20200327_015500.pt,2
20200327_132700.pt,2
20200326_090900.pt,2
20200327_021300.pt,2
20200326_010000.pt,2
20200327_050200.pt,2
20200326_070600.pt,2
20200325_202700.pt,2
20200326_144700.pt,2
20200326_233100.pt,2
20200325_221800.pt,2
20200325_165300.pt,2
20200327_182800.pt,2
20200327_213800.pt,2
20200327_221100.pt,2
20200327_232100.pt,2
20200327_232800.pt,2
20200328_024500.pt,2
20200328_042100.pt,2
20200327_135800.pt,2
20200326_073600.pt,2
20200326_235100.pt,2
20200325_224100.pt,2
20200325_204000.pt,2
20200324_205100.pt,2
20200327_161800.pt,2
20200325_110400.pt,2
20200326_094600.pt,2
20200327_070800.pt,2
20200327_222600.pt,2
20200327_175600.pt,2
20200325_100200.pt,2
20200327_074600.pt,2
20200327_012900.pt,2
20200324_194000.pt,2
20200325_022000.pt,2
20200325_203600.pt,2
20200326_235500.pt,2
20200326_102800.pt,2
20200326_230100.pt,2
20200326_050200.pt,2
20200324_185000.pt,2
20200327_215800.pt,2
20200326_152400.pt,2
20200325_133600.pt,2
20200327_143600.pt,2
20200325_083200.pt,2
20200327_083000.pt,2
20200326_220400.pt,2
20200326_233400.pt,2
20200326_190700.pt,2
20200325_141900.pt,2
20200325_160300.pt,2
20200326_194400.pt,2
20200327_130100.pt,2
20200327_153400.pt,2
20200327_153100.pt,2
20200327_121100.pt,2
20200327_035800.pt,2
20200326_110300.pt,2
20200326_041000.pt,2
